"error_type","regex_pattern"
"cluster","failed error: pods(.*)"
"cluster","""message"": ""Error(.*)"""
"cluster","Internal server error(.*)"
"cluster","\[error\](.*)"
"cluster","MountVolume\.SetUp failed"
"cluster","Failed to create pod sandbox"
"cluster","failed to get memory utilization"
"cluster","error determining status: rpc error: code"
"cluster","Unable to attach or mount volumes:"
"cluster","Error creating:"
"domino","-ERROR(.*)"
"domino","repository not found(.*)"
"domino",".*message.*level=error.*"
"user","TypeError:(.*)"
